epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,244.371,1.00547,0.74013,1.06262,0.49268,0.52557,0.42945,0.31639,1.42466,3.12954,1.46121,0.000676802,0.000676802,0.000676802
122,247.767,0.90796,0.7446,1.04555,0.37603,0.5593,0.40621,0.30179,1.55595,3.43961,1.59806,0.00066855,0.00066855,0.00066855
123,251.275,1.07222,0.87723,1.09354,0.37603,0.5593,0.40621,0.30179,1.55595,3.43961,1.59806,0.000660299,0.000660299,0.000660299
124,253.63,0.9389,0.71812,1.04665,0.35761,0.50678,0.40905,0.30963,1.54355,3.35835,1.55568,0.000652047,0.000652047,0.000652047
125,255.222,0.95667,0.73312,1.05466,0.35761,0.50678,0.40905,0.30963,1.54355,3.35835,1.55568,0.000643795,0.000643795,0.000643795
126,256.846,0.93182,0.70536,1.01147,0.44236,0.52019,0.437,0.32121,1.37339,2.918,1.43825,0.000635544,0.000635544,0.000635544
127,258.448,0.981,0.71936,1.01285,0.44236,0.52019,0.437,0.32121,1.37339,2.918,1.43825,0.000627292,0.000627292,0.000627292
128,260.056,0.96265,0.63699,1.03675,0.57631,0.62278,0.53568,0.38904,1.26582,2.59244,1.35087,0.00061904,0.00061904,0.00061904
129,261.647,1.03583,0.70697,1.05385,0.57631,0.62278,0.53568,0.38904,1.26582,2.59244,1.35087,0.000610789,0.000610789,0.000610789
130,263.199,0.93963,0.69411,1.12808,0.61587,0.67365,0.59285,0.41701,1.20195,2.4258,1.29736,0.000602537,0.000602537,0.000602537
131,265.584,0.88455,0.6475,1.0002,0.61587,0.67365,0.59285,0.41701,1.20195,2.4258,1.29736,0.000594286,0.000594286,0.000594286
132,268.023,0.96167,0.68747,1.03405,0.62819,0.67478,0.6174,0.43284,1.19065,2.0998,1.26225,0.000586034,0.000586034,0.000586034
133,270.403,1.06937,0.75062,1.09556,0.62819,0.67478,0.6174,0.43284,1.19065,2.0998,1.26225,0.000577782,0.000577782,0.000577782
134,272.795,0.87365,0.58725,1.02712,0.66909,0.69388,0.64649,0.4685,1.09986,1.66344,1.19579,0.000569531,0.000569531,0.000569531
135,275.213,0.87893,0.68528,1.06481,0.66909,0.69388,0.64649,0.4685,1.09986,1.66344,1.19579,0.000561279,0.000561279,0.000561279
136,277.586,0.95848,0.71935,1.08928,0.69829,0.69721,0.70506,0.52626,1.07334,1.45266,1.20083,0.000553027,0.000553027,0.000553027
137,282.156,0.80763,0.61899,1.0053,0.69829,0.69721,0.70506,0.52626,1.07334,1.45266,1.20083,0.000544776,0.000544776,0.000544776
138,287.251,0.93764,0.60998,1.01669,0.70775,0.73085,0.717,0.54793,1.01499,1.48606,1.1932,0.000536524,0.000536524,0.000536524
139,292.385,0.85523,0.61629,1.00729,0.70775,0.73085,0.717,0.54793,1.01499,1.48606,1.1932,0.000528272,0.000528272,0.000528272
140,297.499,0.84727,0.58738,0.97463,0.70019,0.76727,0.75988,0.58684,0.94953,1.40561,1.14237,0.000520021,0.000520021,0.000520021
141,309.002,0.95108,0.64886,1.00852,0.70019,0.76727,0.75988,0.58684,0.94953,1.40561,1.14237,0.000511769,0.000511769,0.000511769
142,311.342,0.86824,0.6215,1.00387,0.69397,0.78645,0.78013,0.58548,0.95009,1.38401,1.12944,0.000503517,0.000503517,0.000503517
143,312.947,0.76165,0.51932,0.93006,0.69397,0.78645,0.78013,0.58548,0.95009,1.38401,1.12944,0.000495266,0.000495266,0.000495266
144,314.567,0.82826,0.58642,0.95688,0.75343,0.78965,0.79541,0.5946,0.92486,1.32421,1.08453,0.000487014,0.000487014,0.000487014
145,316.933,0.79543,0.56387,0.97797,0.75343,0.78965,0.79541,0.5946,0.92486,1.32421,1.08453,0.000478762,0.000478762,0.000478762
146,319.331,0.70505,0.5479,0.95168,0.73635,0.76052,0.78732,0.60656,0.89774,1.13943,1.05287,0.000470511,0.000470511,0.000470511
147,321.748,0.8551,0.58276,1.03155,0.73635,0.76052,0.78732,0.60656,0.89774,1.13943,1.05287,0.000462259,0.000462259,0.000462259
148,327.146,0.74933,0.55541,0.99328,0.74075,0.76339,0.80146,0.63958,0.88058,1.06512,1.03074,0.000454007,0.000454007,0.000454007
149,332.18,0.76236,0.54274,0.93045,0.74075,0.76339,0.80146,0.63958,0.88058,1.06512,1.03074,0.000445756,0.000445756,0.000445756
150,338.657,0.80872,0.6496,0.96576,0.7243,0.75939,0.81632,0.65687,0.87766,1.07036,1.02317,0.000437504,0.000437504,0.000437504
151,344.588,0.82095,0.6024,0.97032,0.7243,0.75939,0.81632,0.65687,0.87766,1.07036,1.02317,0.000429253,0.000429253,0.000429253
152,353.123,0.7363,0.5374,0.99731,0.80903,0.75826,0.84221,0.67365,0.84179,1.08012,0.9958,0.000421001,0.000421001,0.000421001
153,355.475,0.83007,0.66332,1.06238,0.80903,0.75826,0.84221,0.67365,0.84179,1.08012,0.9958,0.000412749,0.000412749,0.000412749
154,357.866,0.8568,0.60942,0.99808,0.72677,0.83139,0.85239,0.68384,0.83882,0.96224,0.99248,0.000404498,0.000404498,0.000404498
155,360.203,0.80966,0.5403,0.9892,0.72677,0.83139,0.85239,0.68384,0.83882,0.96224,0.99248,0.000396246,0.000396246,0.000396246
156,362.517,0.78281,0.53377,0.99908,0.80125,0.77817,0.85813,0.6822,0.82904,0.9601,0.98337,0.000387994,0.000387994,0.000387994
157,364.101,0.76618,0.56689,0.97428,0.80125,0.77817,0.85813,0.6822,0.82904,0.9601,0.98337,0.000379743,0.000379743,0.000379743
158,365.699,0.78628,0.58266,0.97396,0.80735,0.75688,0.86607,0.70551,0.80578,0.91558,0.97029,0.000371491,0.000371491,0.000371491
159,370.706,0.80171,0.59367,0.98538,0.80735,0.75688,0.86607,0.70551,0.80578,0.91558,0.97029,0.000363239,0.000363239,0.000363239
160,375.875,0.87214,0.60509,1.0472,0.87187,0.81715,0.91074,0.75321,0.765,0.76468,0.94594,0.000354988,0.000354988,0.000354988
161,382.113,0.75523,0.53283,0.95007,0.87187,0.81715,0.91074,0.75321,0.765,0.76468,0.94594,0.000346736,0.000346736,0.000346736
162,387.627,0.71187,0.51845,0.95204,0.89108,0.85917,0.92331,0.77518,0.73561,0.67398,0.93739,0.000338484,0.000338484,0.000338484
163,395.359,0.7542,0.49358,0.93491,0.89108,0.85917,0.92331,0.77518,0.73561,0.67398,0.93739,0.000330233,0.000330233,0.000330233
164,398.111,0.77554,0.53025,0.98233,0.90942,0.85591,0.92903,0.77738,0.73995,0.66877,0.94111,0.000321981,0.000321981,0.000321981
165,400.406,0.73143,0.5277,1.00112,0.90942,0.85591,0.92903,0.77738,0.73995,0.66877,0.94111,0.000313729,0.000313729,0.000313729
166,402.722,0.68734,0.53623,0.9487,0.89361,0.84788,0.92286,0.77203,0.74944,0.67215,0.94807,0.000305478,0.000305478,0.000305478
167,404.246,0.72698,0.48506,0.92839,0.89361,0.84788,0.92286,0.77203,0.74944,0.67215,0.94807,0.000297226,0.000297226,0.000297226
168,405.85,0.76938,0.55189,0.96795,0.90632,0.84111,0.92793,0.77675,0.74007,0.65253,0.9418,0.000288974,0.000288974,0.000288974
169,407.415,0.70098,0.51435,0.95492,0.90632,0.84111,0.92793,0.77675,0.74007,0.65253,0.9418,0.000280723,0.000280723,0.000280723
170,408.932,0.68212,0.46144,0.93298,0.89746,0.83826,0.93568,0.77711,0.73023,0.61285,0.93698,0.000272471,0.000272471,0.000272471
171,410.547,0.70873,0.50127,0.94077,0.89746,0.83826,0.93568,0.77711,0.73023,0.61285,0.93698,0.00026422,0.00026422,0.00026422
172,414.449,0.69628,0.46341,0.89975,0.89192,0.86695,0.9383,0.78041,0.73116,0.59076,0.93179,0.000255968,0.000255968,0.000255968
173,419.649,0.62521,0.45143,0.92235,0.89192,0.86695,0.9383,0.78041,0.73116,0.59076,0.93179,0.000247716,0.000247716,0.000247716
174,424.754,0.68129,0.4612,0.90705,0.89307,0.89014,0.94089,0.78168,0.72714,0.58659,0.93262,0.000239465,0.000239465,0.000239465
175,429.708,0.70223,0.46887,0.92988,0.89307,0.89014,0.94089,0.78168,0.72714,0.58659,0.93262,0.000231213,0.000231213,0.000231213
176,435.114,0.6975,0.49159,0.93175,0.90365,0.89085,0.94558,0.7914,0.71989,0.5707,0.93669,0.000222961,0.000222961,0.000222961
177,440.298,0.65687,0.46608,0.90173,0.90365,0.89085,0.94558,0.7914,0.71989,0.5707,0.93669,0.00021471,0.00021471,0.00021471
178,445.774,0.66982,0.43476,0.88736,0.91528,0.90253,0.95843,0.79905,0.71362,0.55765,0.93571,0.000206458,0.000206458,0.000206458
179,454.439,0.69223,0.47893,0.91962,0.91528,0.90253,0.95843,0.79905,0.71362,0.55765,0.93571,0.000198206,0.000198206,0.000198206
180,460.282,0.68806,0.52117,0.9555,0.9414,0.90478,0.95972,0.80159,0.69803,0.51665,0.92917,0.000189955,0.000189955,0.000189955
181,466.471,0.75821,0.49914,0.94294,0.9414,0.90478,0.95972,0.80159,0.69803,0.51665,0.92917,0.000181703,0.000181703,0.000181703
182,472.509,0.7369,0.50839,0.90491,0.96914,0.90226,0.96232,0.80523,0.67312,0.48558,0.92023,0.000173451,0.000173451,0.000173451
183,477.872,0.71312,0.63597,0.98877,0.96914,0.90226,0.96232,0.80523,0.67312,0.48558,0.92023,0.0001652,0.0001652,0.0001652
184,483.719,0.65493,0.45243,0.91359,0.97477,0.9049,0.96445,0.81613,0.65623,0.45482,0.91809,0.000156948,0.000156948,0.000156948
